Window 1,Window 2,Window 3,Window 4,Heat Control 1,Heat Control 2,Heat Control 3,Heat Control 4,Door 1,Door 2,Door 3,Temperature Outside,Temperature Bed
0.0,0.0,1.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,1.0,12.916896274443168,23.08923485870146
0.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,1.0,0.0,0.0,17.50283084893757,23.475062171261392
1.0,0.0,1.0,1.0,5.0,3.0,5.0,4.0,1.0,0.0,0.0,17.07572395700358,20.05460267377282
1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,5.395592336245947,17.97092706190925
1.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,1.0,1.0,9.117357456702276,14.930653559954953
1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,0.0,3.9010411968725602,11.615462980979844
0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1192960572928365,13.62833251950204
1.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,1.37765780207258,17.074097362626055
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.17964998482494288,17.405036685843793
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,5.499236048229804,15.260800240665402
0.0,0.0,1.0,1.0,3.0,1.0,5.0,5.0,0.0,1.0,0.0,8.907600484381032,21.944183192784806
0.0,0.0,0.0,1.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,21.92032716936461,23.727493128662736
1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,6.970367356664722,15.486494450133785
0.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,-1.1855683902007441,12.593789957366079
1.0,1.0,0.0,1.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,7.6846328420355565,20.890794033877977
0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,-0.9564708242629578,12.04746682115582
1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,5.300926450126212,13.193912214695391
0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,1.8152646324992823,13.389018749057422
0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,10.835990706468833,20.53456185620067
0.0,1.0,0.0,1.0,2.0,4.0,2.0,5.0,0.0,1.0,0.0,13.50073174246296,20.33217716744553
1.0,1.0,0.0,1.0,5.0,4.0,3.0,2.0,0.0,1.0,1.0,14.69497207537416,19.631325895505565
0.0,0.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.5493453304955098,11.163626966552906
0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,-4.489864893499173,16.183481234957483
1.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,18.980830154080873,21.294331941131688
1.0,1.0,1.0,0.0,4.0,2.0,5.0,4.0,0.0,0.0,0.0,4.617735400045554,17.720613545860882
0.0,1.0,0.0,1.0,5.0,4.0,1.0,5.0,0.0,1.0,0.0,6.04848239490282,15.065372396127668
0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,4.1492635237395135,17.785523621725666
1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,4.750378268051714,12.322703611403679
0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,9.388678510264898,16.77141302215074
1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,15.731628764915989,19.427665315277345
0.0,0.0,0.0,1.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0,20.33622295337632,25.502531360882475
1.0,1.0,1.0,0.0,0.0,5.0,3.0,4.0,0.0,1.0,0.0,-3.793072242312812,7.718432858284579
0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,0.620189886321012,14.305121198751605
0.0,1.0,0.0,0.0,5.0,3.0,5.0,2.0,0.0,1.0,0.0,13.292327535347766,19.17875129308527
1.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,1.0,0.0,15.919168780630724,67.64238620995518
1.0,1.0,1.0,1.0,5.0,2.0,5.0,0.0,1.0,0.0,1.0,6.548873743368652,16.91110089745014
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.596804432158457,19.800603528877325
0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,15.592435419523227,20.741930690997126
0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,17.87498180011267,73.32360088481352
1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,-2.5892398192495065,12.747052612593953
0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,18.66119736176389,21.24877075219042
0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0231291947757555,18.818883966397014
1.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,1.0,1.0,0.0,21.05708052444701,22.906213731894155
1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.9369110931669287,13.533093235602616
1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,-4.4037768769972745,11.809653874623836
1.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,-3.6827707169646136,8.147811309547755
0.0,0.0,0.0,1.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,-3.2532896760180563,14.97563649338774
0.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,0.0,1.0,1.0,1.6849638890736633,21.295494511540976
1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,4.075439691027622,12.035070418379172
